county_code,district_code,school_code,county,district,school,gradespan
1,10,50,ATLANTIC,ABSECON CITY,EMMA C ATTALES,8-May
1,10,60,ATLANTIC,ABSECON CITY,H ASHTON MARSH,PK-04
1,110,10,ATLANTIC,ATLANTIC CITY,ATLANTIC CITY HIGH SCHOOL,12-Sep
1,110,30,ATLANTIC,ATLANTIC CITY,SOVEREIGN AVENUE SCHOOL,KG-08
1,110,50,ATLANTIC,ATLANTIC CITY,CHELSEA HEIGHTS SCHOOL,KG-08
1,110,60,ATLANTIC,ATLANTIC CITY,TEXAS AVENUE SCHOOL,KG-08
1,110,70,ATLANTIC,ATLANTIC CITY,NEW YORK AVENUE SCHOOL,PK-08
1,110,80,ATLANTIC,ATLANTIC CITY,UPTOWN SCHOOL COMPLEX,PK-08
1,110,100,ATLANTIC,ATLANTIC CITY,PENNSYLVANIA AVE SCHOOL,PK-08
1,110,120,ATLANTIC,ATLANTIC CITY,RICHMOND AVENUE SCHOOL,PK-08
1,110,130,ATLANTIC,ATLANTIC CITY,VENICE PARK SCHOOL,PK
1,110,140,ATLANTIC,ATLANTIC CITY,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,PK-08
1,110,300,ATLANTIC,ATLANTIC CITY,BRIGHTON AVENUE SCHOOL,KG-05
1,120,10,ATLANTIC,ATLANTIC CO VOCATIONAL,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,12-Sep
1,125,30,ATLANTIC,ATLANTIC CO SPECIAL SERV,ATLANTIC COUNTY ELEMENTARY AND MIDDLE SCHOOLS,PK-08
1,125,60,ATLANTIC,ATLANTIC CO SPECIAL SERV,ATLANTIC COUNTY HIGH SCHOOL,12-Sep
1,570,10,ATLANTIC,BRIGANTINE CITY,BRIGANTINE ELEMENTARY SCHOOL,PK-04
1,570,30,ATLANTIC,BRIGANTINE CITY,BRIGANTINE NORTH MIDDLE SCHOOL,8-May
1,590,25,ATLANTIC,BUENA REGIONAL,BUENA REGIONAL HIGH SCHOOL,12-Sep
1,590,30,ATLANTIC,BUENA REGIONAL,BUENA REGIONAL MIDDLE SCHOOL,8-Jun
1,590,45,ATLANTIC,BUENA REGIONAL,COLLINGS LAKES ELEMENTARY SCHOOL,KG-03
1,590,55,ATLANTIC,BUENA REGIONAL,JOHN C. MILANESI ELEMENTARY SCHOOL,PK-03
1,590,300,ATLANTIC,BUENA REGIONAL,DR. J.P. CLEARY ELEMENTARY,5-Apr
1,1300,20,ATLANTIC,EGG HARBOR CITY,CHARLES L. SPRAGG SCHOOL,PK-03
1,1300,30,ATLANTIC,EGG HARBOR CITY,EGG HARBOR CITY COMMUNITY SCH,8-Apr
1,1310,5,ATLANTIC,EGG HARBOR TWP,EGG HARBOR TOWNSHIP HIGH SCHOOL,12-Sep
1,1310,33,ATLANTIC,EGG HARBOR TWP,CLAYTON J. DAVENPORT ELEMENTARY SCHOOL,PK-03
1,1310,35,ATLANTIC,EGG HARBOR TWP,E. H. SLAYBAUGH ELEMENTARY SCHOOL,PK-03
1,1310,38,ATLANTIC,EGG HARBOR TWP,ALDER AVENUE MIDDLE SCHOOL,8-Jun
1,1310,39,ATLANTIC,EGG HARBOR TWP,FERNWOOD AVENUE MIDDLE SCHOOL,8-Jun
1,1310,45,ATLANTIC,EGG HARBOR TWP,DR. JOYANNE D. MILLER ELEMENTARY SCHOOL,5-Apr
1,1310,50,ATLANTIC,EGG HARBOR TWP,H. RUSSEL SWIFT ELEMENTARY SCHOOL,PK-03
1,1410,50,ATLANTIC,ESTELL MANOR CITY,ESTELL MANOR ELEMENTARY SCHOOL,KG-08
1,1540,50,ATLANTIC,FOLSOM BORO,FOLSOM ELEMENTARY SCHOOL,PK-08
1,1690,15,ATLANTIC,GALLOWAY TWP,ARTHUR RANN ELEMENTARY SCHOOL,KG-06
1,1690,16,ATLANTIC,GALLOWAY TWP,GALLOWAY TOWNSHIP MIDDLE SCHOOL,8-Jul
1,1690,40,ATLANTIC,GALLOWAY TWP,POMONA PRESCHOOL,PK
1,1690,45,ATLANTIC,GALLOWAY TWP,REEDS ROAD ELEMENTARY SCHOOL,KG-06
1,1690,46,ATLANTIC,GALLOWAY TWP,ROLAND ROGERS ELEMENTARY SCHOOL,KG-06
1,1690,48,ATLANTIC,GALLOWAY TWP,SMITHVILLE ELEMENTARY SCHOOL,KG-06
1,1790,40,ATLANTIC,GREATER EGG HARBOR REG,ABSEGAMI HIGH SCHOOL,12-Sep
1,1790,50,ATLANTIC,GREATER EGG HARBOR REG,OAKCREST HIGH SCHOOL,12-Sep
1,1790,60,ATLANTIC,GREATER EGG HARBOR REG,CEDAR CREEK HIGH SCHOOL,12-Sep
1,1940,55,ATLANTIC,HAMILTON TWP,GEORGE L. HESS EDUCATIONAL COMPLEX,PK-05
1,1940,60,ATLANTIC,HAMILTON TWP,JOSEPH C SHANER MEMORIAL ELEMENTARY SCHOOL,KG-01
1,1940,120,ATLANTIC,HAMILTON TWP,WILLIAM DAVIES MIDDLE SCHOOL,8-Jun
1,1960,30,ATLANTIC,HAMMONTON TOWN,HAMMONTON EARLY CHILDHOOD EDUCTIONAL CENTR,PK-01
1,1960,50,ATLANTIC,HAMMONTON TOWN,HAMMONTON HIGH SCHOOL,12-Sep
1,1960,55,ATLANTIC,HAMMONTON TOWN,WARREN E. SOOY JR. ELEMENTARY SCHOOL,PK-05
1,1960,60,ATLANTIC,HAMMONTON TOWN,HAMMONTON MIDDLE SCHOOL,8-Jun
1,2680,20,ATLANTIC,LINWOOD CITY,BELHAVEN MIDDLE SCHOOL,8-May
1,2680,50,ATLANTIC,LINWOOD CITY,SEAVIEW ELEMENTARY SCHOOL,PK-04
1,2910,50,ATLANTIC,MAINLAND REGIONAL,MAINLAND REGIONAL HIGH SCHOOL,12-Sep
1,3020,10,ATLANTIC,MARGATE CITY,EUGENE A. TIGHE MIDDLE SCHOOL,8-May
1,3020,25,ATLANTIC,MARGATE CITY,WILLIAM H. ROSS III SCHOOL,PK-04
1,3480,20,ATLANTIC,MULLICA TWP,MULLICA TOWNSHIP PRIMARY SCHOOL,PK-04
1,3480,25,ATLANTIC,MULLICA TWP,MULLICA TOWNSHIP MIDDLE SCHOOL,8-May
1,3720,56,ATLANTIC,NORTHFIELD CITY,NORTHFIELD COMMUNITY MIDDLE SCHOOL,8-May
1,3720,57,ATLANTIC,NORTHFIELD CITY,NORTHFIELD COMMUNITY ELEMENTARY SCHOOL,PK-04
1,4180,50,ATLANTIC,PLEASANTVILLE CITY,PLEASANTVILLE HIGH SCHOOL,12-Sep
1,4180,55,ATLANTIC,PLEASANTVILLE CITY,PLEASANTVILLE MIDDLE SCHOOL,8-Jun
1,4180,60,ATLANTIC,PLEASANTVILLE CITY,WASHINGTON AVENUE ELEMENTARY SCHOOL,KG-05
1,4180,80,ATLANTIC,PLEASANTVILLE CITY,LEEDS AVENUE ELEMENTARY SCHOOL,PK-05
1,4180,85,ATLANTIC,PLEASANTVILLE CITY,NORTH MAIN ST ELEMENTARY SCHOOL,PK-05
1,4180,95,ATLANTIC,PLEASANTVILLE CITY,SOUTH MAIN STREET ELEMENTARY SCHOOL,KG-05
1,4180,100,ATLANTIC,PLEASANTVILLE CITY,DECATUR AVENUE EARLY CHILDHOOD CENTER,PK
1,4240,50,ATLANTIC,PORT REPUBLIC CITY,PORT REPUBLIC SCHOOL DISTRICT,KG-08
1,4800,50,ATLANTIC,SOMERS POINT CITY,DAWES AVENUE ELEMENTARY SCHOOL,PK-06
1,4800,55,ATLANTIC,SOMERS POINT CITY,JORDAN ROAD ELEMENTARY SCHOOL,KG-08
1,4800,60,ATLANTIC,SOMERS POINT CITY,NEW YORK AVENUE ELEMENTARY SCHOOL,PK
1,5350,40,ATLANTIC,VENTNOR CITY,VENTNOR MIDDLE SCHOOL,8-May
1,5350,45,ATLANTIC,VENTNOR CITY,VENTNOR ELEMENTARY SCHOOL,PK-04
1,5760,20,ATLANTIC,WEYMOUTH TWP,WEYMOUTH TOWNSHIP ELEMENTARY SCHOOL,PK-08
3,40,10,BERGEN,ALLENDALE BORO,BROOKSIDE,8-Apr
3,40,20,BERGEN,ALLENDALE BORO,HILLSIDE ELEMENTARY SCHOOL,PK-03
3,80,10,BERGEN,ALPINE BORO,ALPINE ELEMENTARY SCHOOL,KG-08
3,285,2,BERGEN,BERGEN CO SPECIAL SERVICE,N. A. BLESHMAN REGIONAL DAY SCHOOL,PK-12
3,285,3,BERGEN,BERGEN CO SPECIAL SERVICE,MILLBURN REGIONAL DAY SCHOOL,PK-12
3,285,30,BERGEN,BERGEN CO SPECIAL SERVICE,HEARING IMPAIRED,PK-12
3,285,40,BERGEN,BERGEN CO SPECIAL SERVICE,MULTIPLY HANDICAPED,PK-12
3,285,50,BERGEN,BERGEN CO SPECIAL SERVICE,EMOTIONALLY DISTURBED,PK-12
3,285,70,BERGEN,BERGEN CO SPECIAL SERVICE,LIFE SKILLS,12-Apr
3,285,100,BERGEN,BERGEN CO SPECIAL SERVICE,AUTISTIC,PK-12
3,290,20,BERGEN,BERGEN COUNTY VOCATIONAL,BERGEN COUNTY ACADEMIES,12-Sep
3,290,30,BERGEN,BERGEN COUNTY VOCATIONAL,BERGEN COUNTY TECHNICAL HIGH SCHOOL - PARAMUS,12-Sep
3,290,70,BERGEN,BERGEN COUNTY VOCATIONAL,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,12-Sep
3,290,75,BERGEN,BERGEN COUNTY VOCATIONAL,BERGEN COUNTY TECHNICAL HIGH SCHOOL - PARAMUS,12-Sep
3,300,20,BERGEN,BERGENFIELD BORO,BERGENFIELD HIGH SCHOOL,12-Sep
3,300,40,BERGEN,BERGENFIELD BORO,FRANKLIN ELEMENTARY SCHOOL,KG-05
3,300,50,BERGEN,BERGENFIELD BORO,HOOVER ELEMENTARY SCHOOL,KG-05
3,300,60,BERGEN,BERGENFIELD BORO,JEFFERSON ELEMENTARY SCHOOL,KG-05
3,300,70,BERGEN,BERGENFIELD BORO,LINCOLN ELEMENTARY SCHOOL,PK-05
3,300,75,BERGEN,BERGENFIELD BORO,ROY W. BROWN MIDDLE SCHOOL,8-Jun
3,300,80,BERGEN,BERGENFIELD BORO,WASHINGTON ELEMENTARY SCHOOL,KG-05
3,440,20,BERGEN,BOGOTA BORO,BOGOTA JR./SR. HIGH SCHOOL,12-Jul
3,440,30,BERGEN,BOGOTA BORO,E. ROY BIXBY,KG-06
3,440,50,BERGEN,BOGOTA BORO,LILLIAN M. STEEN,KG-06
3,740,50,BERGEN,CARLSTADT BORO,CARLSTADT PUBLIC SCHOOL,PK-08
3,745,50,BERGEN,CARLSTADT-EAST RUTHERFORD,HENRY P. BECTON REGIONAL HIGH SCHOOL,12-Sep
3,890,30,BERGEN,CLIFFSIDE PARK BORO,CLIFFSIDE PARK HIGH SCHOOL,12-Sep
3,890,50,BERGEN,CLIFFSIDE PARK BORO,SCHOOL #3,KG-06
3,890,60,BERGEN,CLIFFSIDE PARK BORO,SCHOOL #4,PK-06
3,890,70,BERGEN,CLIFFSIDE PARK BORO,SCHOOL #5,KG-06
3,890,80,BERGEN,CLIFFSIDE PARK BORO,SCHOOL #6,KG-08
3,930,50,BERGEN,CLOSTER BORO,HILLSIDE ELEMENTARY SCHOOL,PK-04
3,930,60,BERGEN,CLOSTER BORO,TENAKILL MIDDLE SCHOOL,8-May
3,990,40,BERGEN,CRESSKILL BORO,CRESSKILL HIGH SCHOOL,12-Sep
3,990,45,BERGEN,CRESSKILL BORO,CRESSKILL MIDDLE SCHOOL,8-Jun
3,990,50,BERGEN,CRESSKILL BORO,EDWARD H. BRYAN,PK-05
3,990,60,BERGEN,CRESSKILL BORO,MERRITT MEMORIAL,PK-05
3,1070,30,BERGEN,DEMAREST BORO,COUNTY ROAD SCHOOL,KG-01
3,1070,40,BERGEN,DEMAREST BORO,DEMAREST MIDDLE SCHOOL,8-May
3,1070,50,BERGEN,DEMAREST BORO,LUTHER LEE EMERSON SCHOOL,4-Feb
3,1130,40,BERGEN,DUMONT BORO,DUMONT HIGH SCHOOL,12-Sep
3,1130,50,BERGEN,DUMONT BORO,GRANT ELEMENTARY SCHOOL,KG-05
3,1130,60,BERGEN,DUMONT BORO,HONISS ELEMENTARY\MIDDLE SCHOOL,KG-08
3,1130,70,BERGEN,DUMONT BORO,LINCOLN ELEMENTARY SCHOOL,KG-05
3,1130,80,BERGEN,DUMONT BORO,SELZER ELEMENTARY\MIDDLE SCHOOL,PK-08
3,1230,40,BERGEN,EAST RUTHERFORD BORO,ALFRED S. FAUST,8-May
3,1230,80,BERGEN,EAST RUTHERFORD BORO,MCKENZIE SCHOOL,PK-04
3,1270,50,BERGEN,EDGEWATER BORO,ELEANOR VAN GELDER,6-Mar
3,1270,300,BERGEN,EDGEWATER BORO,GEORGE WASHINGTON SCHOOL,PK-02
3,1345,50,BERGEN,ELMWOOD PARK,MEMORIAL SENIOR HIGH SCHOOL,12-Sep
3,1345,60,BERGEN,ELMWOOD PARK,MEMORIAL MIDDLE SCHOOL,8-Jun
3,1345,70,BERGEN,ELMWOOD PARK,GANTNER AVENUE SCHOOL,KG-05
3,1345,80,BERGEN,ELMWOOD PARK,GILBERT AVENUE SCHOOL,KG-05
3,1345,90,BERGEN,ELMWOOD PARK,SIXTEENTH AVENUE SCHOOL,PK-05
3,1360,50,BERGEN,EMERSON BORO,EMERSON JR SR HIGH,12-Jul
3,1360,60,BERGEN,EMERSON BORO,PATRICK M VILLANO SCHOOL,6-Mar
3,1360,70,BERGEN,EMERSON BORO,MEMORIAL SCHOOL,PK-02
3,1370,40,BERGEN,ENGLEWOOD CITY,DWIGHT MORROW HIGH SCHOOL/ACADEMIES@ENGLEWOOD,12-Sep
3,1370,60,BERGEN,ENGLEWOOD CITY,DR. LEROY MCCLOUD ELEMENTARY SCHOOL,6-Apr
3,1370,70,BERGEN,ENGLEWOOD CITY,DONALD A. QUARLES EARLY CHILDHOOD CENTER,PK-KG
3,1370,76,BERGEN,ENGLEWOOD CITY,JANIS E. DISMUS MIDDLE SCHOOL,8-Jul
3,1370,86,BERGEN,ENGLEWOOD CITY,DR. JOHN GRIECO ELEMENTARY SCHOOL,3-Jan
3,1380,40,BERGEN,ENGLEWOOD CLIFFS BORO,NORTH CLIFF SCHOOL,KG-02
3,1380,60,BERGEN,ENGLEWOOD CLIFFS BORO,UPPER SCHOOL,8-Mar
3,1450,50,BERGEN,FAIR LAWN BORO,FAIR LAWN HIGH SCHOOL,12-Sep
3,1450,60,BERGEN,FAIR LAWN BORO,THOMAS JEFFERSON MIDDLE SCHOOL,8-Jun
3,1450,70,BERGEN,FAIR LAWN BORO,MEMORIAL MIDDLE SCHOOL,8-Jun
3,1450,80,BERGEN,FAIR LAWN BORO,HENRY B. MILNES ELEMENTARY SCHOOL,KG-05
3,1450,85,BERGEN,FAIR LAWN BORO,JOHN A. FORREST ELEMENTARY SCHOOL,KG-05
3,1450,100,BERGEN,FAIR LAWN BORO,LYNCREST ELEMENTARY SCHOOL,KG-05
3,1450,110,BERGEN,FAIR LAWN BORO,RADBURN ELEMENTARY SCHOOL,KG-05
3,1450,140,BERGEN,FAIR LAWN BORO,WARREN POINT ELEMENTARY SCHOOL,KG-05
3,1450,160,BERGEN,FAIR LAWN BORO,WESTMORELAND ELEMENTARY SCHOOL,KG-05
3,1470,60,BERGEN,FAIRVIEW BORO,LINCOLN SCHOOL,8-Apr
3,1470,65,BERGEN,FAIRVIEW BORO,LINCOLN SCHOOL ANNEX,PK-KG
3,1470,80,BERGEN,FAIRVIEW BORO,NUMBER THREE SCHOOL,KG-03
3,1550,50,BERGEN,FORT LEE BORO,FORT LEE HIGH SCHOOL,12-Sep
3,1550,60,BERGEN,FORT LEE BORO,SCHOOL NO. 1,PK-06
3,1550,70,BERGEN,FORT LEE BORO,SCHOOL NO. 2,KG-06
3,1550,80,BERGEN,FORT LEE BORO,SCHOOL NO. 3,KG-06
3,1550,90,BERGEN,FORT LEE BORO,SCHOOL NO. 4,KG-06
3,1550,100,BERGEN,FORT LEE BORO,LEWIS F. COLE MIDDLE SCHOOL,8-Jul
3,1580,15,BERGEN,FRANKLIN LAKES BORO,FRANKLIN AVENUE MIDDLE SCHOOL,8-Jun
3,1580,20,BERGEN,FRANKLIN LAKES BORO,HIGH MOUNTAIN ROAD SCHOOL,PK-05
3,1580,30,BERGEN,FRANKLIN LAKES BORO,WOODSIDE AVENUE SCHOOL,KG-05
3,1580,40,BERGEN,FRANKLIN LAKES BORO,COLONIAL ROAD SCHOOL,PK-05
3,1700,40,BERGEN,GARFIELD CITY,GARFIELD EARLY CHILDHOOD LEARNING CENTER,PK
3,1700,50,BERGEN,GARFIELD CITY,GARFIELD HIGH SCHOOL,12-Sep
3,1700,60,BERGEN,GARFIELD CITY,CHRISTOPHER COLUMBUS SCHOOL #8,KG-05
3,1700,70,BERGEN,GARFIELD CITY,GARFIELD MIDDLE SCHOOL,8-Jun
3,1700,80,BERGEN,GARFIELD CITY,ABRAHAM LINCOLN SCHOOL #6,PK-05
3,1700,100,BERGEN,GARFIELD CITY,ROOSEVELT SCHOOL #7,KG-05
3,1700,120,BERGEN,GARFIELD CITY,WASHINGTON IRVING SCHOOL #4,PK-05
3,1700,130,BERGEN,GARFIELD CITY,WOODROW WILSON SCHOOL #5,KG-05
3,1700,205,BERGEN,GARFIELD CITY,JAMES MADISON SCHOOL #10,PK-05
3,1760,50,BERGEN,GLEN ROCK BORO,GLEN ROCK HIGH SCHOOL,12-Sep
3,1760,60,BERGEN,GLEN ROCK BORO,GLEN ROCK MIDDLE SCHOOL,8-Jun
3,1760,65,BERGEN,GLEN ROCK BORO,ALEXANDER HAMILTON SCHOOL,KG-05
3,1760,70,BERGEN,GLEN ROCK BORO,RICHARD E BYRD,KG-05
3,1760,80,BERGEN,GLEN ROCK BORO,CENTRAL SCHOOL,KG-05
3,1760,90,BERGEN,GLEN ROCK BORO,CLARA E COLEMAN SCHOOL,PK-05
3,1860,50,BERGEN,HACKENSACK CITY,HACKENSACK HIGH SCHOOL,12-Sep
3,1860,90,BERGEN,HACKENSACK CITY,NELLIE K. PARKER,PK-04
3,1860,100,BERGEN,HACKENSACK CITY,FAIRMOUNT,PK-04
3,1860,110,BERGEN,HACKENSACK CITY,FANNY MEYER HILLERS,PK-04
3,1860,120,BERGEN,HACKENSACK CITY,JACKSON AVENUE,PK-04
3,1860,300,BERGEN,HACKENSACK CITY,HACKENSACK MIDDLE SCHOOL,8-May
3,2050,50,BERGEN,HARRINGTON PARK BORO,HARRINGTON PARK SCHOOL DISTRICT,KG-08
3,2080,50,BERGEN,HASBROUCK HEIGHTS BORO,HASBROUCK HEIGHTS HIGH SCHOOL,12-Sep
3,2080,55,BERGEN,HASBROUCK HEIGHTS BORO,HASBROUCK HEIGHTS MIDDLE SCHOOL,8-Jun
3,2080,60,BERGEN,HASBROUCK HEIGHTS BORO,EUCLID ELEMENTARY SCHOOL,PK-05
3,2080,80,BERGEN,HASBROUCK HEIGHTS BORO,LINCOLN ELEMENTARY SCHOOL,PK-05
3,2090,50,BERGEN,HAWORTH BORO,HAWORTH PUBLIC SCHOOL,KG-08
3,2180,10,BERGEN,HILLSDALE BORO,ANN BLANCHE SMITH,KG-04
3,2180,20,BERGEN,HILLSDALE BORO,GEORGE G WHITE,8-May
3,2180,30,BERGEN,HILLSDALE BORO,MEADOWBROOK,PK-04
3,2200,50,BERGEN,HO HO KUS BORO,HO-HO-KUS PUBLIC SCHOOL,PK-08
3,2620,50,BERGEN,LEONIA BORO,LEONIA HIGH SCHOOL,12-Sep
3,2620,55,BERGEN,LEONIA BORO,LEONIA MIDDLE SCHOOL,8-Jun
3,2620,60,BERGEN,LEONIA BORO,ANNA C. SCOTT ELEMENTARY SCHOOL,PK-05
3,2710,30,BERGEN,LITTLE FERRY BORO,MEMORIAL ELEMENTARY SCHOOL,PK-08
3,2710,50,BERGEN,LITTLE FERRY BORO,WASHINGTON ELEMENTARY SCHOOL,KG-01
3,2740,50,BERGEN,LODI BOROUGH,LODI HIGH SCHOOL,12-Sep
3,2740,60,BERGEN,LODI BOROUGH,COLUMBUS SCHOOL,KG-05
3,2740,65,BERGEN,LODI BOROUGH,HILLTOP SCHOOL,PK-05
3,2740,67,BERGEN,LODI BOROUGH,THOMAS JEFFERSON MIDDLE SCHOOL,8-Jun
3,2740,80,BERGEN,LODI BOROUGH,ROOSEVELT SCHOOL,PK-05
3,2740,90,BERGEN,LODI BOROUGH,WASHINGTON SCHOOL,PK-05
3,2740,100,BERGEN,LODI BOROUGH,WILSON SCHOOL,PK-05
3,2860,50,BERGEN,LYNDHURST TWP,LYNDHURST HIGH SCHOOL,12-Sep
3,2860,60,BERGEN,LYNDHURST TWP,COLUMBUS SCHOOL,PK-03
3,2860,70,BERGEN,LYNDHURST TWP,FRANKLIN SCHOOL,KG-03
3,2860,80,BERGEN,LYNDHURST TWP,JEFFERSON SCHOOL,8-Apr
3,2860,90,BERGEN,LYNDHURST TWP,LINCOLN SCHOOL,8-Apr
3,2860,110,BERGEN,LYNDHURST TWP,ROOSEVELT SCHOOL,8-Apr
3,2860,120,BERGEN,LYNDHURST TWP,WASHINGTON SCHOOL,PK-03
3,2900,50,BERGEN,MAHWAH TWP,MAHWAH HIGH,12-Sep
3,2900,60,BERGEN,MAHWAH TWP,BETSY ROSS,KG-03
3,2900,65,BERGEN,MAHWAH TWP,LENAPE MEADOWS,PK-03
3,2900,75,BERGEN,MAHWAH TWP,JOYCE KILMER,5-Apr
3,2900,76,BERGEN,MAHWAH TWP,RAMAPO RIDGE,8-Jun
3,2900,80,BERGEN,MAHWAH TWP,GEORGE WASHINGTON,KG-03
3,3060,60,BERGEN,MAYWOOD BORO,MAYWOOD AVENUE SCHOOL,PK-08
3,3060,70,BERGEN,MAYWOOD BORO,MEMORIAL,PK-03
3,3170,50,BERGEN,MIDLAND PARK BORO,MIDLAND PARK JR./SR. HIGH SCHOOL,12-Jul
3,3170,70,BERGEN,MIDLAND PARK BORO,HIGHLAND ELEMENTARY SCHOOL,6-Mar
3,3170,300,BERGEN,MIDLAND PARK BORO,GODWIN ELEMENTARY SCHOOL,PK-02
3,3330,20,BERGEN,MONTVALE BORO,FIELDSTONE MIDDLE SCHOOL,8-May
3,3330,30,BERGEN,MONTVALE BORO,MEMORIAL ELEMENTARY SCHOOL,PK-04
3,3350,60,BERGEN,MOONACHIE BORO,ROBERT L. CRAIG SCHOOL,PK-08
3,3550,50,BERGEN,NEW MILFORD BORO,NEW MILFORD HIGH SCHOOL,12-Sep
3,3550,60,BERGEN,NEW MILFORD BORO,BERKLEY STREET ELEMENTARY SCHOOL,PK-05
3,3550,70,BERGEN,NEW MILFORD BORO,BERTRAND F GIBBS ELEMENTARY SCHOOL,PK-05
3,3550,85,BERGEN,NEW MILFORD BORO,DAVID E. OWENS MIDDLE SCHOOL,8-Jun
3,3600,50,BERGEN,NORTH ARLINGTON BORO,NORTH ARLINGTON HIGH SCHOOL,12-Sep
3,3600,60,BERGEN,NORTH ARLINGTON BORO,JEFFERSON ELEMENTARY SCHOOL,KG-05
3,3600,70,BERGEN,NORTH ARLINGTON BORO,ROOSEVELT ELEMENTARY SCHOOL,PK-05
3,3600,80,BERGEN,NORTH ARLINGTON BORO,WASHINGTON ELEMENTARY SCHOOL,PK-05
3,3600,90,BERGEN,NORTH ARLINGTON BORO,NORTH ARLINGTON MIDDLE SCHOOL,8-Jun
3,3700,50,BERGEN,NORTHERN HIGHLANDS REG,NORTHERN HIGHLANDS REGIONAL HIGH SCHOOL,12-Sep
3,3710,50,BERGEN,NORTHERN VALLEY REGIONAL,NORTHERN VALLEY REGIONAL HIGH SCHOOL AT DEMAREST,12-Sep
3,3710,60,BERGEN,NORTHERN VALLEY REGIONAL,NORTHER VALLEY REG OLD TAPPEN HIGH SCHOO,12-Sep
3,3730,50,BERGEN,NORTHVALE BORO,NATHAN HALE M.S.,KG-08
3,3740,20,BERGEN,NORWOOD BORO,NORWOOD PUBLIC SCHOOL,KG-08
3,3760,40,BERGEN,OAKLAND BORO,DOGWOOD HILL ELEMENTARY SCHOOL,PK-05
3,3760,50,BERGEN,OAKLAND BORO,HEIGHTS ELEMENTARY SCHOOL,KG-05
3,3760,60,BERGEN,OAKLAND BORO,MANITO ELEMENTARY SCHOOL,KG-05
3,3760,80,BERGEN,OAKLAND BORO,VALLEY MIDDLE SCHOOL,8-Jun
3,3850,30,BERGEN,OLD TAPPAN BORO,CHARLES DEWOLF MIDDLE SCHOOL,8-May
3,3850,60,BERGEN,OLD TAPPAN BORO,T. BALDWIN DEMAREST ELEMENTARY SCHOOL,KG-04
3,3870,50,BERGEN,ORADELL BORO,ORADELL PUBLIC SCHOOL,PK-06
3,3910,50,BERGEN,PALISADES PARK,PALISADES PARK JR-SR HIGH SCHOOL,12-Aug
3,3910,70,BERGEN,PALISADES PARK,LINDBERGH ELEMENTARY SCHOOL,7-Feb
3,3910,80,BERGEN,PALISADES PARK,CHARLES R SMITH EARLY CHILHOOD CENTER,KG-01
3,3930,50,BERGEN,PARAMUS BORO,PARAMUS HIGH SCHOOL,12-Sep
3,3930,60,BERGEN,PARAMUS BORO,WEST BROOK MIDDLE SCHOOL,8-May
3,3930,65,BERGEN,PARAMUS BORO,EAST BROOK MIDDLE SCHOOL,8-May
3,3930,80,BERGEN,PARAMUS BORO,MEMORIAL ELEMENTARY SCHOOL,KG-04
3,3930,90,BERGEN,PARAMUS BORO,MIDLAND ELEMENTARY SCHOOL,KG-04
3,3930,100,BERGEN,PARAMUS BORO,PARKWAY ELEMENTARY SCHOOL,PK-04
3,3930,110,BERGEN,PARAMUS BORO,RIDGE RANCH ELEMENTARY SCHOOL,PK-04
3,3930,130,BERGEN,PARAMUS BORO,STONY LANE ELEMENTARY SCHOOL,KG-04
3,3940,50,BERGEN,PARK RIDGE BORO,PARK RIDGE HIGH SCHOOL,12-Jul
3,3940,60,BERGEN,PARK RIDGE BORO,EAST BROOK ELEMENTARY SCHOOL,PK-06
3,3940,70,BERGEN,PARK RIDGE BORO,WEST RIDGE ELEMENTARY SCHOOL,PK-06
3,3960,40,BERGEN,PASCACK VALLEY REGIONAL,PASCACK HILLS HIGH SCHOOL,12-Sep
3,3960,50,BERGEN,PASCACK VALLEY REGIONAL,PASCACK VALLEY HIGH SCHOOL,12-Sep
3,4300,30,BERGEN,RAMAPO-INDIAN HILL REG,INDIAN HILLS HIGH SCHOOL,12-Sep
3,4300,50,BERGEN,RAMAPO-INDIAN HILL REG,RAMAPO HIGH SCHOOL,12-Sep
3,4310,50,BERGEN,RAMSEY BORO,RAMSEY HIGH SCHOOL,12-Sep
3,4310,55,BERGEN,RAMSEY BORO,ERIC S. SMITH MIDDLE SCHOOL,8-Jun
3,4310,60,BERGEN,RAMSEY BORO,JOHN Y DATER ELEMENTARY SCHOOL,5-Apr
3,4310,70,BERGEN,RAMSEY BORO,MARY A. HUBBARD ELEMENTARY SCHOOL,PK-03
3,4310,80,BERGEN,RAMSEY BORO,WESLEY D TISDALE ELEMENTARY SCHOOL,PK-03
3,4370,50,BERGEN,RIDGEFIELD BORO,RIDGEFIELD MEMORIAL HIGH SCHOOL,12-Sep
3,4370,65,BERGEN,RIDGEFIELD BORO,BERGEN BOULEVARD SCHOOL,2-Jan
3,4370,90,BERGEN,RIDGEFIELD BORO,SHALER ACADEMY,PK-02
3,4370,100,BERGEN,RIDGEFIELD BORO,SLOCUM SKEWES SCHOOL,8-Mar
3,4380,50,BERGEN,RIDGEFIELD PARK TWP,RIDGEFIELD PARK JR SR HIGH SCHOOL,12-Jul
3,4380,60,BERGEN,RIDGEFIELD PARK TWP,GRANT ELEMENTARY SCHOOL,KG-06
